species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
3,Biscoe,47.5,15.0,218.0,4950.0,Female
3,Biscoe,51.1,16.3,220.0,6000.0,Male
3,Biscoe,48.5,14.1,220.0,5300.0,Male
3,Biscoe,43.5,15.2,213.0,4650.0,Female
1,Biscoe,37.6,17.0,185.0,3600.0,Female
3,Biscoe,45.0,15.4,220.0,5050.0,Male
3,Biscoe,,13.7,214.0,4925.0,Female
1,Biscoe,38.1,,198.0,3825.0,Female
3,Biscoe,54.3,15.7,231.0,5650.0,Male
1,Biscoe,37.7,16.0,183.0,3075.0,Female
3,Biscoe,47.2,,215.0,4975.0,Female
1,Biscoe,40.5,17.9,187.0,3200.0,Female
3,Biscoe,55.9,17.0,228.0,5600.0,Male
3,Biscoe,46.5,13.5,210.0,4550.0,Female
3,Biscoe,50.1,15.0,225.0,5000.0,Male
3,Biscoe,45.1,14.5,207.0,5050.0,Female
3,Biscoe,45.2,,215.0,5300.0,Male
3,Biscoe,,14.5,215.0,5000.0,Female
3,Biscoe,48.2,14.3,210.0,4600.0,Female
3,Biscoe,43.3,13.4,209.0,4400.0,Female
3,Biscoe,52.5,,221.0,5450.0,Male
3,Biscoe,44.5,15.7,217.0,,
3,Biscoe,50.5,15.9,225.0,5400.0,Male
1,Biscoe,35.7,16.9,185.0,3150.0,Female
1,Biscoe,38.1,17.0,181.0,3175.0,Female
3,Biscoe,,14.7,210.0,4700.0,Female
3,Biscoe,45.4,14.6,211.0,4800.0,Female
3,Biscoe,46.5,14.4,217.0,4900.0,Female
3,Biscoe,46.5,14.8,217.0,5200.0,Female
3,Biscoe,,,,,
3,Biscoe,45.7,13.9,214.0,4400.0,Female
1,Biscoe,,18.7,180.0,3600.0,Male
3,Biscoe,42.8,14.2,209.0,4700.0,Female
1,Biscoe,38.2,18.1,185.0,3950.0,Male
3,Biscoe,47.6,14.5,215.0,5400.0,Male
3,Biscoe,42.7,13.7,208.0,3950.0,Female
3,Biscoe,49.3,15.7,217.0,5850.0,Male
3,Biscoe,50.5,15.2,216.0,5000.0,Female
3,Biscoe,46.4,15.0,216.0,4700.0,Female
1,Biscoe,42.0,19.5,200.0,4050.0,Male
3,Biscoe,53.4,15.8,219.0,5500.0,Male
3,Biscoe,,14.2,210.0,,Female
1,Biscoe,37.8,20.0,190.0,4250.0,Male
1,Biscoe,39.0,17.5,186.0,3550.0,Female
3,Biscoe,46.7,15.3,219.0,5200.0,Male
1,Biscoe,41.1,19.1,188.0,4100.0,Male
1,Biscoe,36.5,16.6,181.0,2850.0,Female
3,Biscoe,50.0,16.3,230.0,5700.0,Male
3,Biscoe,50.7,15.0,223.0,5550.0,Male
3,Biscoe,51.5,16.3,230.0,5500.0,Male
3,Biscoe,48.7,15.7,208.0,5350.0,Male
1,Biscoe,35.3,18.9,187.0,3800.0,Female
3,Biscoe,49.1,15.0,228.0,5500.0,Male
3,Biscoe,43.3,14.0,208.0,4575.0,Female
1,Biscoe,42.7,18.3,196.0,4075.0,Male
3,Biscoe,49.2,15.2,221.0,6300.0,Male
1,Biscoe,42.2,19.5,197.0,4275.0,Male
3,Biscoe,46.9,14.6,222.0,4875.0,Female
3,Biscoe,51.1,16.5,225.0,5250.0,Male
1,Biscoe,37.9,18.6,193.0,2925.0,Female
3,Biscoe,50.0,15.3,220.0,5550.0,Male
1,Biscoe,45.6,20.3,191.0,4600.0,Male
1,Biscoe,39.7,17.7,193.0,3200.0,Female
1,Biscoe,38.8,,180.0,3800.0,Male
1,Biscoe,34.5,18.1,187.0,2900.0,Female
3,Biscoe,47.7,15.0,216.0,4750.0,Female
3,Biscoe,47.5,14.2,209.0,4600.0,Female
3,Biscoe,45.1,14.4,210.0,4400.0,Female
3,Biscoe,,16.0,230.0,5800.0,Male
3,Biscoe,51.3,14.2,218.0,5300.0,Male
3,Biscoe,50.0,15.2,218.0,5700.0,Male
3,Biscoe,50.8,17.3,228.0,5600.0,Male
3,Biscoe,47.3,15.3,222.0,5250.0,Male
3,Biscoe,49.6,15.0,216.0,4750.0,Male
1,Biscoe,40.5,,180.0,3950.0,Male
3,Biscoe,42.9,13.1,215.0,5000.0,Female
3,Biscoe,46.4,15.6,221.0,5000.0,Male
3,Biscoe,48.7,15.1,222.0,5350.0,Male
1,Biscoe,37.8,18.3,174.0,3400.0,Female
3,Biscoe,46.8,16.1,215.0,5500.0,Male
3,Biscoe,50.2,14.3,218.0,5700.0,Male
3,Biscoe,46.1,13.2,211.0,4500.0,Female
